ws_bin_center_ms,ws_bin_left_ms,ws_bin_right_ms,n_15min,mean_wind_speed_ms,mean_power_kw,std_power_kw,p10_power_kw,p50_power_kw,p90_power_kw
1.75,1.5,2.0,1,1.9401681766704417,2.3543812858372877,0.0,2.3543812858372877,2.3543812858372877,2.3543812858372877
2.25,2.0,2.5,3,2.248007622345144,0.8458145909750279,1.2329239893655346,0.11806060679106659,0.16097649018777258,1.8475038154738914
2.75,2.5,3.0,2,2.8555777902863926,9.512580911970584,1.289488964282446,8.783135799243116,9.512580911970584,10.242026024698053
3.25,3.0,3.5,13,3.232499411517739,3.9116330396391725,4.817964701227531,0.4829575698567248,1.1078337395510671,11.91529734992309
3.75,3.5,4.0,14,3.820216841364658,1.8387734205198432,0.2952641469420532,1.4977544975541388,1.8507973662413524,2.138826546750673
4.25,4.0,4.5,21,4.196325858865968,3.9460637266429663,4.687874720646715,1.8896753933640982,2.685527245129449,3.9234424687075777
4.75,4.5,5.0,21,4.752959094777262,5.834742849308792,4.249325085621315,3.842471324025157,4.480794022521487,8.658918081964941
5.25,5.0,5.5,21,5.229457539633932,7.1852960930741805,3.546200114037574,4.938345369149042,6.055322479772056,10.96578285209967
5.75,5.5,6.0,23,5.735633107013081,9.75112647326773,3.8517643577718497,7.411067852063346,8.513842645928678,13.784705064326845
6.25,6.0,6.5,25,6.268857034019488,11.209918751777785,2.061943093246338,9.551703535581165,10.80195179879397,12.780250775333595
6.75,6.5,7.0,41,6.785565867377925,13.916834390515882,3.7727568525255184,10.607141262553274,14.315350419642938,17.825607051160606
7.25,7.0,7.5,23,7.257635419910843,15.324588894911402,5.038525604889796,7.052658245198789,16.16869860938481,20.82660678310582
7.75,7.5,8.0,15,7.757332151969468,13.487653804531876,7.323873839059033,3.0267720706892565,16.10600588995393,20.747146232591675
8.25,8.0,8.5,20,8.234154676615992,19.73940376636788,5.126821768433971,16.72100789323687,21.449258601278864,23.469899322667292
8.75,8.5,9.0,10,8.788169384614555,17.663450310780526,10.244493389640683,0.8024614001245843,23.229598382473768,25.058718556736
9.25,9.0,9.5,20,9.233676406173663,19.502028491316363,7.126674613211434,9.225935118008088,20.774411027700282,27.007074839128876
9.75,9.5,10.0,22,9.741671124882314,15.049283362235787,6.8986582177334945,6.627450084128061,16.665049495927022,21.711683540787504
10.25,10.0,10.5,10,10.14236749118814,16.30662791572517,8.696451296184854,5.484582058923395,19.812862405820724,25.839700948857413
10.75,10.5,11.0,3,10.603928926365619,20.927069533821925,9.442102363503396,13.067636896485785,23.67599814671067,27.68693072600257
11.25,11.0,11.5,2,11.327376516474645,19.60965289009416,3.3970679238725716,17.68798107799688,19.60965289009416,21.53132470219144
11.75,11.5,12.0,1,11.764030130442771,20.748976075369104,0.0,20.748976075369104,20.748976075369104,20.748976075369104
