held_out_date,a,b,r2_train,n_train,n_test
2022-07-05,0.9213404298295435,1.3611174971583266,0.6553708607622961,303,8
2022-08-08,0.9326046849288688,1.3384458883911234,0.6464164881031461,309,2
2022-08-11,0.8851746832441849,1.68199718767681,0.6070014119792804,289,22
2022-08-25,0.9244943210198796,1.3932371897485485,0.6097222813163887,296,15
2022-08-31,0.9378343083189963,1.304758672924463,0.644674657620772,305,6
2022-09-07,0.9327021013424506,1.3384921311469857,0.6453441652972569,309,2
2022-09-12,0.9282355804152146,1.3520990435739693,0.6493142312580729,308,3
2022-09-13,0.9267066333106088,1.3715584173839006,0.644689532538819,307,4
2022-09-14,0.9283034901770525,1.3641453752405686,0.6450472073686303,310,1
2022-09-15,0.9454595247520866,1.2369267848181276,0.6574840308761918,304,7
2022-09-20,0.9374113876791423,1.3057525745700227,0.6450668746663526,307,4
2022-09-22,0.9462905842978722,1.2362359980291782,0.6498358985438367,301,10
2022-09-23,0.9310123300398992,1.3464676769644377,0.6470773252909432,305,6
2022-09-28,0.9251009658652226,1.3778907837188525,0.643133862552037,305,6
2022-09-30,0.9362276829517638,1.3067171785958864,0.654034753866491,309,2
2022-10-12,0.9301578960858108,1.3475829696270465,0.6481589424396946,308,3
2022-10-20,0.9343554374770714,1.3270301348444487,0.6468932987012459,309,2
2022-10-31,0.9287574767631267,1.3662693087394524,0.6399983163619045,304,7
2022-11-02,0.8843216376474142,1.5145217027952445,0.6417213366496533,293,18
2022-11-08,0.9301560356517972,1.3444530043941754,0.6490862856480686,308,3
2022-11-11,0.9251249406228785,1.378714363841713,0.6403729772684068,308,3
2022-11-24,0.9310702904147061,1.3545932232225908,0.6470135253224372,308,3
2022-11-25,0.9358431681634873,1.344615834217602,0.6501822924300233,300,11
2022-12-14,0.9320413302253969,1.3502283783973636,0.6475754357413173,309,2
2023-01-05,0.9272976966257517,1.4597853652348909,0.6870359126639467,302,9
2023-01-10,0.9306070700585449,1.3470872793758237,0.6474756766461319,304,7
2023-01-18,0.9219028087205012,1.3954792223265833,0.6305429182444615,307,4
2023-01-24,0.9306330325829028,1.354122465626367,0.6431531036861668,306,5
2023-02-01,1.0368351439662162,0.8504665227268314,0.719597218912535,297,14
2023-02-21,0.9352919395487387,1.333336512667226,0.6472885783183531,309,2
2023-03-03,0.9364249262562172,1.3054831773478017,0.6466995388387549,304,7
2023-04-06,0.9199280226282239,1.4069734838885004,0.6309170035772629,294,17
2023-04-13,0.9320695884571846,1.3535963750459719,0.6515634092242872,297,14
2023-04-19,0.9309316340195151,1.3987810722995373,0.6575099297381639,299,12
2023-04-24,0.9219301702258988,1.3588843732699492,0.6513768980915763,296,15
2023-04-25,0.9305298053694079,1.354637848896314,0.6461573157589309,310,1
2023-04-27,0.9133414327207903,1.424490614664886,0.6286909458085903,298,13
2023-05-08,0.926598295068835,1.3933770820715283,0.6452436277947385,297,14
2023-05-11,0.9296408566308058,1.3682797216674676,0.6482741778414824,307,4
2023-05-17,0.9206061585592713,1.4026612955803792,0.6369705141703594,309,2
2023-06-02,0.9321017783483775,1.350335644882682,0.6477763622253974,309,2
2023-06-09,0.9326815148984519,1.3497628334770873,0.6479575336845382,306,5
2023-06-22,0.9307965516822386,1.363387482448709,0.648253465102919,306,5
2023-08-02,0.9178879309620765,1.4579409905545089,0.6426371673726633,302,9
