date,n_points,wind_speed_MAE,wind_speed_RMSE,wind_speed_bias,power_MAE,power_RMSE,power_nRMSE,power_bias
2022-07-05,8,1.771293403958281,1.9207729744501703,-1.771293403958281,7.018818514396438,7.833047432139095,0.3917696739203788,-3.2882788337725932
2022-08-08,2,0.5882659651472215,0.5912783134621903,-0.5882659651472215,0.6591736640005808,0.8755264259818135,0.04378943257871988,-0.6591736640005808
2022-08-11,22,0.9666577863485774,1.0389181425598901,0.9666577863485774,4.649830778685761,4.721834043183132,0.23616241308765135,4.649830778685761
2022-08-25,15,0.5134566777404813,0.656444861210295,0.09541405117601967,1.8721889696945102,2.1907432900058694,0.10956997156015903,1.5680472363676767
2022-08-31,6,1.6581268564070963,1.7346978375627533,-0.39119454430180384,2.575550953718324,2.942846744693813,0.14718640727693102,-1.3669495078733649
2022-09-07,2,0.49439920616646216,0.5038203508887463,-0.49439920616646216,0.41757085963606233,0.42315042547977216,0.021163858082780485,0.41757085963606233
2022-09-12,3,1.5684001016508107,1.5792100993468066,-1.5684001016508107,7.0147777590643585,7.963376370079627,0.3982880725336511,7.0147777590643585
2022-09-13,4,1.341400204263133,1.4069474290468795,-0.3435221944938698,4.601488983725819,5.629651960774685,0.28156690382195493,2.6450163716671207
2022-09-14,1,0.8379460749988858,0.8379460749988858,-0.8379460749988858,1.6280747567970515,1.6280747567970515,0.08142811876401448,-1.6280747567970515
2022-09-15,7,1.4105499928968597,1.4665411215054311,-1.4105499928968597,4.231782580927833,4.60055380853172,0.2300965851459718,-4.231782580927833
2022-09-20,4,0.69766225451437,0.7403093741832577,-0.69766225451437,1.1622544103039232,1.2299945422941156,0.06151814666425659,-0.1976054094785492
2022-09-22,10,0.8609818335212642,0.8976473779562187,-0.8609818335212642,1.9587306921601897,2.093007723825806,0.10468172963075575,-1.4672781588420967
2022-09-23,6,0.2525572078564588,0.2794374761791301,-0.2525572078564588,0.832304124883534,0.9057437830658929,0.04530075294721311,-0.31769588071212596
2022-09-28,6,0.8797168142623689,1.0388778205948292,-0.3770000064219408,9.642108458374297,11.340364887679373,0.5671880698635056,9.642108458374297
2022-09-30,2,2.2985269049297714,2.301293899025649,-2.2985269049297714,8.055647616254289,8.222362822267783,0.4112412735454624,-8.055647616254289
2022-10-12,3,0.8963160593995845,0.9683391348768988,-0.8963160593995845,4.04727013949242,5.165132578734977,0.2583339783982294,-3.7241727834140055
2022-10-20,2,0.8056879387727105,1.0142856415234252,-0.8056879387727105,0.9719261442475187,0.9731022828674409,0.04866968665170517,-0.047829102542037205
2022-10-31,7,0.191117023741852,0.22108030774853138,0.09006630044864254,2.936726749321893,3.3939826883049253,0.16974996035808762,2.936726749321893
2022-11-02,18,1.7964663818179052,1.862985572779965,-1.7964663818179052,7.964667120796658,9.39168120653488,0.46972470366409286,7.457119755030005
2022-11-08,3,1.2218926662152423,1.2589422085148696,-1.2218926662152423,10.228777561213853,10.269633389467057,0.5136354604167932,10.228777561213853
2022-11-11,3,0.6544012196496946,0.6855506573272834,-0.6544012196496946,8.79191357536466,9.973411533310932,0.49881993159486665,8.79191357536466
2022-11-24,3,0.804768982076196,0.8144836402192418,0.37161394543821863,3.22454039422627,4.092453675366473,0.20468396953071183,-1.579685938514259
2022-11-25,11,0.6010757411865849,0.6921628668746981,0.5913805404844061,2.9798045830051945,3.553495099259849,0.17772796965363433,-2.3142633749256443
2022-12-14,2,0.7426677917972531,0.7539805931260255,0.7426677917972531,2.775387589814999,2.7912004808519613,0.1396018231350293,2.775387589814999
2023-01-05,9,3.012920690851571,3.073883233110512,3.012920690851571,3.6908646490031773,4.431434453050626,0.22163808475714428,-0.9313327339187961
2023-01-10,7,0.3070338589460784,0.38185361322888833,-0.29197214395956433,1.8074292769801932,2.103505209880588,0.1052067611366026,-1.8074292769801932
2023-01-18,4,0.7808705448437041,0.9236611240183827,-0.6207750699431522,5.324437371291221,5.799748105617688,0.2900742583066014,-3.931213099003468
2023-01-24,5,0.33219059966450964,0.4074790969160119,0.03806761969657835,4.705116767404151,5.5626817055104345,0.2782173881584101,-4.705116767404151
2023-02-01,14,2.4529406389343875,2.924564395130939,2.324247575198373,4.529237554675489,5.489241944400609,0.2745443003197309,3.8876610219890972
2023-02-21,2,1.0082041896806895,1.0144006661131955,1.0082041896806895,5.524139548781886,6.690556986327329,0.33462804248120953,5.524139548781886
2023-03-03,7,0.768910349216959,0.9634217917119894,-0.6614049605651721,4.36741045794914,4.96985901605328,0.24856737598201153,-2.6713722641108504
2023-04-06,17,0.4825029572465957,0.6396896609522145,-0.14250040654672014,3.1489156403610776,3.700892068094307,0.18510002541065637,-1.9400657994500847
2023-04-13,14,0.5829079015890277,0.8647026373370755,0.18450485167762162,5.271093781936982,6.795422856901563,0.33987290640883994,4.474083213745817
