timestamp,wind_speed_ws30_ms,wind_speed_wsn_ms,power_kw,power_w,n_samples,n_seconds,ws30_std,power_w_std
2022-07-05 11:45:00+00:00,8.546775575790038,8.985166577396894,0.15410651102890732,154.10651102890733,1867,93.35000000000001,0.9399810392851388,623.8618865316619
2022-07-05 12:00:00+00:00,9.507889699103176,8.686073086916437,18.804081568807096,18804.081568807094,11931,596.5500000000001,0.891399350035817,6158.7305437143805
2022-07-05 12:15:00+00:00,9.500076242417496,8.707721743001835,19.875138251670098,19875.138251670098,17969,898.45,0.7217449276751974,1953.6932482935147
2022-07-05 12:30:00+00:00,9.06158902432237,7.718358100962876,22.364874768469974,22364.874768469974,17967,898.35,0.834341431995942,2344.9768927137984
2022-07-05 12:45:00+00:00,9.257652420701168,7.998211352253756,23.19539535440623,23195.39535440623,17970,898.5,1.189481654283865,3027.423338229774
2022-07-05 13:00:00+00:00,9.94008873353052,9.011705297122882,24.0268253193466,24026.8253193466,3719,185.95000000000002,0.8479858322419958,825.2086007638212
2022-07-05 13:30:00+00:00,8.238150891089107,6.832420990099011,18.91532951601952,18915.32951601952,5050,252.5,0.7048595725655136,8297.408489792502
2022-07-05 13:45:00+00:00,8.67952181243414,7.03306512118019,23.288910366949423,23288.91036694942,9490,474.5,0.8880744027375522,2619.69410336979
2022-08-08 09:30:00+00:00,5.271110244264883,3.942553357481193,6.429831054814503,6429.831054814504,10767,538.35,0.5636389916310542,2173.4593664777976
2022-08-08 09:45:00+00:00,5.408979756491125,4.057681531465454,7.641933802656814,7641.933802656814,13634,681.7,0.5783706536078799,2222.967571350698
2022-08-11 07:15:00+00:00,4.0658887159533075,3.0229229571984435,2.5441009257898832,2544.100925789883,2570,128.5,0.3591697208154184,843.4966714369192
2022-08-11 07:30:00+00:00,3.963935422066945,2.992781584582441,2.155257443852355,2155.257443852355,17746,887.3000000000001,0.4470475042564364,1196.8462386470974
2022-08-11 07:45:00+00:00,3.8665044577727348,3.1485595720538173,1.4040123946172005,1404.0123946172005,6169,308.45000000000005,0.4735841657856732,1171.3083524274125
