timestamp,obs_ws_ms,obs_power_kw,fcst_ws_ms,fcst_power_kw,date,fcst_ws_raw_ms,fold_a,fold_b,fcst_power_raw_kw
2022-07-05 11:45:00+00:00,8.546775575790038,0.1541065110289073,7.181685662606467,15.076265233524285,2022-07-05,6.3175,0.9213404298295435,1.3611174971583266,11.931882146119246
2022-07-05 12:00:00+00:00,9.507889699103176,18.804081568807096,6.843093054644111,13.918091679012825,2022-07-05,5.95,0.9213404298295435,1.3611174971583266,10.543217352140466
2022-07-05 12:15:00+00:00,9.500076242417496,19.875138251670094,7.00432762986428,14.475556309648697,2022-07-05,6.125,0.9213404298295435,1.3611174971583266,11.201463994083497
2022-07-05 12:30:00+00:00,9.06158902432237,22.364874768469974,7.16556220508445,15.021742587944232,2022-07-05,6.300000000000001,0.9213404298295435,1.3611174971583266,11.86467273879604
2022-07-05 12:45:00+00:00,9.257652420701168,23.19539535440623,7.326796780304621,15.570339235046141,2022-07-05,6.4750000000000005,0.9213404298295435,1.3611174971583266,12.542929670814615
2022-07-05 13:00:00+00:00,9.94008873353052,24.0268253193466,7.488031355524791,16.12353003652597,2022-07-05,6.65,0.9213404298295435,1.3611174971583266,13.215600978739309
2022-07-05 13:30:00+00:00,8.238150891089107,18.91532951601952,7.718366462982177,16.88658677028564,2022-07-05,6.9,0.9213404298295435,1.3611174971583266,14.116987688823016
2022-07-05 13:45:00+00:00,8.67952181243414,23.288910366949423,7.833534016710869,17.24631913452931,2022-07-05,7.025,0.9213404298295435,1.3611174971583266,14.545928576111091
2022-08-08 09:30:00+00:00,5.271110244264883,6.429831054814503,4.742452988381494,6.346883564534396,2022-08-08,3.65,0.9326046849288688,1.3384458883911234,3.326384257811205
2022-08-08 09:45:00+00:00,5.408979756491125,7.641933802656814,4.761105082080071,6.406533964935759,2022-08-08,3.67,0.9326046849288688,1.3384458883911234,3.396752679226008
2022-08-11 07:15:00+00:00,4.0658887159533075,2.5441009257898832,4.784534452447678,6.481170377255458,2022-08-11,3.505,0.8851746832441849,1.68199718767681,2.7528559530070917
2022-08-11 07:30:00+00:00,3.963935422066945,2.155257443852355,4.753553338534132,6.38242082350057,2022-08-11,3.47,0.8851746832441849,1.68199718767681,2.598387015010562
2022-08-11 07:45:00+00:00,3.8665044577727343,1.4040123946172005,4.722572224620585,6.28270337992001,2022-08-11,3.435,0.8851746832441849,1.68199718767681,2.4379564868460784
2022-08-11 08:15:00+00:00,4.096187928501469,2.415215553491074,4.722572224620585,6.28270337992001,2022-08-11,3.435,0.8851746832441849,1.68199718767681,2.4379564868460784
