ws_bin,n_windows,intra_window_std_median,intra_window_std_mean,n_15min,intra_hour_resid_std,intra_hour_resid_mae
2.25,3,0.3510045672528848,0.49931034839978006,3.0,0.5873966273030956,0.43730028544857835
2.75,2,0.7896513915197694,0.7896513915197694,4.0,0.1461864561490829,0.12314095183795559
3.25,9,0.4568000844414293,0.5520809194036262,8.0,0.3173752469513469,0.2257666353548357
3.75,9,0.3513264479053569,0.465776900462476,14.0,0.3989926820636826,0.29397699133910954
4.25,13,0.4542248851427166,0.5442243905004756,15.0,0.2054401315250135,0.17134076321314806
4.75,13,0.7878875226689963,0.8158088555769323,11.0,0.2452976678345503,0.169478149676708
5.25,12,0.8469879187720653,0.9251077986968214,15.0,0.7309522001823342,0.5298512991059962
5.75,16,0.7484436087514139,0.860394197962647,23.0,0.496673504496763,0.3813085312808075
6.25,16,0.8061521954922911,0.8497891641836933,16.0,0.41259384166202984,0.2631558020222961
6.75,22,0.8639563237765869,0.880399702076531,18.0,0.32376818666644314,0.2396015500699215
7.25,16,1.1126844894731325,1.066178643379225,19.0,0.3717298682818571,0.300962491880577
7.75,7,1.1355300466118723,1.1204498039535482,8.0,0.3781504725537254,0.3077211688405007
8.25,10,1.103603294304378,1.064841194337465,7.0,0.13468941235425005,0.10823146595966751
8.75,6,0.7693469887908049,0.9149714276169846,6.0,0.6120200742459359,0.4716589522485502
9.25,12,0.8293409923135968,0.9809126586470992,23.0,0.39050379026504,0.2943962588346357
9.75,4,1.2627757648727211,1.1547526084620354,26.0,0.4353145099402947,0.31545495498697906
10.25,5,1.337338506611138,1.3753804288956073,,,
10.75,2,1.1962257669146765,1.1962257669146765,4.0,0.4968418038386868,0.3608545730488122
11.25,1,1.0683756321583542,1.0683756321583542,,,
11.75,1,1.0730330955193554,1.0730330955193554,,,
