,observed_15min,linear_15min,linear_plus_variability
2022-08-11 07:00:00+00:00,,3.965442865264329,3.965442865264329
2022-08-11 07:15:00+00:00,4.0658887159533075,3.986121946363454,3.904116098605961
2022-08-11 07:30:00+00:00,3.963935422066945,4.006801027462579,3.686402321169386
2022-08-11 07:45:00+00:00,3.8665044577727343,4.027480108561703,4.41705510557445
2022-08-11 08:00:00+00:00,,4.048159189660828,4.048159189660828
2022-08-11 08:15:00+00:00,4.096187928501469,4.040251669457947,4.137457417436265
2022-08-11 08:30:00+00:00,4.236348807472064,4.032344149255067,3.638771052977966
2022-08-11 08:45:00+00:00,3.811940833008953,4.024436629052186,4.322886460519518
2022-08-11 09:00:00+00:00,4.094619079386257,4.016529108849305,4.016529108849305
2022-08-11 09:15:00+00:00,3.869085925068711,4.072362654111616,4.319497960272858
2022-08-11 09:30:00+00:00,4.120505391569546,4.128196199373925,4.25276527544191
2022-08-11 09:45:00+00:00,3.981906039372706,4.184029744636236,3.861943952953506
2022-08-11 10:00:00+00:00,4.575637089618456,4.239863289898546,4.239863289898546
2022-08-11 10:15:00+00:00,4.38749174403736,4.082496008622483,3.7533819513523454
2022-08-11 10:30:00+00:00,4.083326327495135,3.92512872734642,3.9204823581418293
2022-08-11 10:45:00+00:00,3.9129979984432337,3.767761446070357,4.250731756247274
2022-08-11 11:00:00+00:00,3.62299388277166,3.6103941647942936,3.6103941647942936
2022-08-11 11:15:00+00:00,3.9049675158527086,3.5705609056750953,3.1140904032492345
2022-08-11 11:30:00+00:00,3.608636115900117,3.5307276465558965,3.9718491621266696
2022-08-11 11:45:00+00:00,3.304979144652689,3.490894387436698,3.4980840858014792
2022-08-11 12:00:00+00:00,3.0634295884315907,3.4510611283174994,3.4510611283174994
2022-08-11 12:15:00+00:00,3.0591210368227832,,
2022-08-11 12:30:00+00:00,3.6525717304270464,,
2022-08-11 12:45:00+00:00,4.029122157588577,,
