ws_bin_center_ms,ws_bin_left_ms,ws_bin_right_ms,n_samples,mean_wind_speed_ms,mean_power_kw,std_power_kw,p10_power_kw,p50_power_kw,p90_power_kw
0.75,0.5,1.0,1847,0.810572820790471,2.28697776108706,2.405398361296038,0.21668337738000001,1.78213574,5.635911904000001
1.25,1.0,1.5,6551,1.2968304075713633,3.232366777713647,3.164414756334163,0.2344611096,2.5335120420000004,7.0525326
1.75,1.5,2.0,24427,1.7998605641298564,2.944697897481946,3.865241957963351,0.08635588038,1.0515296799999998,8.482828860000001
2.25,2.0,2.5,48614,2.2561670300736414,3.5979369368001444,4.772516187545806,0.10076872218,0.675532631,10.451060148000005
2.75,2.5,3.0,78698,2.7733185087295738,4.260767910580181,5.4623089438693935,0.19917633118,0.973975311,12.374794
3.25,3.0,3.5,166341,3.2709300773711836,3.4732503053861614,5.058591965503549,0.2618822464,1.288130534,11.72429745
3.75,3.5,4.0,274443,3.7600626869696074,3.6560263229074175,4.703732262878942,0.7725375349999999,2.079126522,9.924632008000025
4.25,4.0,4.5,301695,4.243669374699613,4.786127847649574,5.01879167521566,1.3505747088000002,3.221064072,11.19285874
4.75,4.5,5.0,281796,4.742252274695169,6.371064411978582,5.354853809941178,2.0504226125000002,4.862334994999999,13.228698399999999
5.25,5.0,5.5,297084,5.252079580186075,7.983307211265227,5.200970864763199,3.2833773852,6.772633979999999,14.154682089000014
5.75,5.5,6.0,334863,5.750983721701114,9.799361122903482,5.074086487864115,4.639702754000001,9.01307892,16.298645
6.25,6.0,6.5,374897,6.247846368469206,11.674119423981402,5.101147907047991,6.110763225999999,11.12230701,18.4976453
6.75,6.5,7.0,345058,6.73939481478476,13.585760896781336,5.548049594807363,7.014315812,13.270652,20.797365936000002
7.25,7.0,7.5,304436,7.24215122390256,15.30784892658186,6.432280299181086,6.1505532899999995,15.700706969999999,23.50503251
7.75,7.5,8.0,262983,7.739766000083656,16.986214160381156,7.2877140423453115,5.373840696,18.276766679999998,25.015041815999997
8.25,8.0,8.5,231214,8.24214661741936,18.446404518431308,7.822943334337985,4.952540263000002,20.455151965,26.923481091
8.75,8.5,9.0,216731,8.742620188159517,19.572269720066956,7.907720674987073,5.72271898,21.5367705,28.234952850000006
9.25,9.0,9.5,196719,9.24003892862408,19.974346353485497,7.893743719641054,6.662315964000002,21.733132050000002,28.48814132
9.75,9.5,10.0,156806,9.734530017984007,19.994011669548065,8.014977080638463,6.537911000000001,21.57952104,28.6428268
10.25,10.0,10.5,115141,10.23151761752981,19.395164297814514,8.417236838382491,5.5872144,20.96749179,28.766797399999994
10.75,10.5,11.0,82631,10.73287850806598,18.638064238460558,8.988249460358718,4.79636336,20.380777710000004,28.995594320000002
11.25,11.0,11.5,58391,11.228031032179617,18.4146521232483,9.136657929115712,4.6533975,20.015764700000002,29.129285779999996
11.75,11.5,12.0,37614,11.725143563566757,18.53307401765801,9.352425741999152,4.43829078,20.298640705,29.22519032
12.25,12.0,12.5,22346,12.222483039470152,18.588320092937717,9.624365042988932,4.081112500000001,20.36786694,29.265970560000003
12.75,12.5,13.0,12317,12.714456767069905,18.780849579009274,9.83342550046766,4.0470672491999995,20.875101299999997,29.344830444
13.25,13.0,13.5,5359,13.211862287740251,17.23125163774994,10.563470368580472,2.8255314080000002,18.399211599999997,29.219508810000004
13.75,13.5,14.0,2030,13.699257142857142,18.04170812716616,10.56823619332404,2.8919634972000003,20.36839677,29.123568341000002
14.25,14.0,14.5,745,14.210418791946307,19.16454359542478,10.458341574089692,2.898795972,23.439024550000003,29.058530988
14.75,14.5,15.0,240,14.706208333333333,18.6933099705908,11.179295318469396,0.10928338937000001,27.84214848,29.533192795999998
15.25,15.0,15.5,42,15.125714285714285,11.443532667516191,11.856513593990282,0.00410455276,11.264425469999999,29.04593019
15.75,15.5,16.0,3,15.683333333333332,4.0805652039,6.786565430249555,0.15859328677999998,0.1685884843,9.56732780886
