date,n_points,wind_speed_MAE,wind_speed_RMSE,power_MAE,power_RMSE,power_nRMSE
2022-07-05,8,2.6236555499235017,2.7327113570881556,9.277191222656406,9.50175086547218,0.47522983493822046
2022-08-08,2,1.6800450003780043,1.6810783767490562,3.6743139602170523,3.7183964818563435,0.1859755082327804
2022-08-11,22,0.43736988147272393,0.48960788453105014,1.0497357989460752,1.31028995889488,0.06553411994304878
2022-08-25,15,1.1157780350249789,1.2692113297977043,1.9261463256823603,2.564259477884441,0.12825137447478555
2022-08-31,6,1.8288806190245468,2.286941333328057,4.717439110786416,5.382488041416569,0.26920500649773965
2022-09-07,2,1.6192205090757286,1.622223342533475,3.43445547417519,3.4376217325081266,0.17193256607646207
2022-09-12,3,2.4805832531700456,2.4867499913094697,3.990597535168765,5.306867304327827,0.26542283719932336
2022-09-13,4,1.7318529535510176,1.771039239387665,4.591298165845608,4.932871728703462,0.24671745771842704
2022-09-14,1,1.6270854414594158,1.6270854414594158,3.458276106890999,3.458276106890999,0.1729655941012646
2022-09-15,7,2.4172185784629927,2.4523053784358635,7.377704419357774,7.585348399615002,0.37938101292437915
2022-09-20,4,1.808646891118424,1.8255455198505373,4.216333051108181,4.386006901407554,0.21936602688332296
2022-09-22,10,1.8910273846699734,1.9081768034400808,4.378454889635855,4.6256549886515295,0.23135202004991554
2022-09-23,6,1.2406339393781731,1.246537736188182,3.9387805411515466,4.028070212608141,0.20146383223048253
2022-09-28,6,1.2430709689418236,1.5303792845751012,7.578043389353025,9.368391734648133,0.46855988130269466
2022-09-30,2,3.3248850347023495,3.3267528066984418,11.43725612507864,11.556113543185502,0.5779787335418071
2022-10-12,3,1.8408518876884974,1.8779936589871702,7.303355668361875,8.13760544529484,0.4070021354288215
2022-10-20,2,1.9241324762005532,2.0219355225627584,3.893784448402961,4.079688736363769,0.20404553142165813
2022-10-31,7,1.0072624830716133,1.0250174791021445,1.586063534688951,1.7122071600887336,0.08563599883741768
2022-11-02,18,2.473235744592194,2.529467340567774,6.45680433269217,7.987581552381637,0.39949869412885985
2022-11-08,3,2.1652085020362395,2.186616778004101,6.651287487101787,6.712864944970109,0.3357437744819443
2022-11-11,3,1.4118397783097425,1.4251350280030417,7.501727740912568,9.04788807315812,0.4525298985865118
2022-11-24,3,0.5461070248122116,0.8647064456935103,4.446949928131214,5.720467993377517,0.28610906545033643
2022-11-25,11,0.41720202507998355,0.4917150756536318,5.5470312387147525,6.1774141492119945,0.30896321615239036
2022-12-14,2,0.13354886492225404,0.1852763654905221,0.3102593911729281,0.34474008826662106,0.017242167003017127
2023-01-05,9,1.9655189464228329,2.051846438467739,4.7622655216036245,6.336546068414902,0.31692219516235437
2023-01-10,7,1.2536808302676643,1.278084899255273,5.433327085755505,5.5392021236544995,0.2770430574515967
2023-01-18,4,1.274330975114498,1.4598873734894573,5.382540549061314,5.838526306886102,0.29201374908560673
2023-01-24,5,0.7857443800260807,0.8853359441740642,7.068154787631203,7.689165248414766,0.3845734100538598
2023-02-01,14,1.7350466051135807,2.0772252334813763,3.732351332679098,4.727745826950303,0.2364580908068044
2023-02-21,2,0.2111357280032915,0.2349432822397699,4.182180400505393,5.451510137875602,0.2726571449479816
2023-03-03,7,1.7212158886602131,1.8473946057038984,6.145691639497266,7.323495610723558,0.36628445215312283
2023-04-06,17,0.9999472731402878,1.1223140536010678,4.571038826228756,5.201896384780523,0.2601727192498985
2023-04-13,14,1.0388028291887466,1.1286924136273953,3.974244767171409,5.2508736634201005,0.26262231663180724
2023-04-19,12,0.5303486782751544,0.6379509470904752,4.533786195458465,5.158672906866093,0.2580108980691966
2023-04-24,15,1.7841681991603149,1.994153532002458,7.792229391118363,8.084640536166225,0.40435309680645826
2023-04-25,1,0.6545241199478484,0.6545241199478484,7.181874722775735,7.181874722775735,0.3592012869390343
2023-04-27,13,1.4236031915715144,1.4596738126957032,6.399021168199147,7.052895069568397,0.35275037276837884
2023-05-08,14,0.6382665168974453,0.7300726337218809,1.966801533135443,2.4847276801716913,0.12427359357582364
2023-05-11,4,0.6512664239353798,0.7102152469792996,2.6266964336087795,2.911311447273347,0.14560917015505337
2023-05-17,2,1.9238715210899704,1.95821920112267,1.3903896056447689,1.5261420697738335,0.0763299579392678
2023-06-02,2,0.06870661892092311,0.06875166198258018,7.121112608969979,9.058408471971669,0.4530560760734227
2023-06-09,5,0.4159047802580799,0.5316956752367533,7.157946766585735,7.540678115491162,0.3771468297668353
2023-06-22,5,0.3346021962224414,0.37812495311917715,1.1978335098776092,1.320211452941249,0.06603034322281609
2023-08-02,9,0.18556380281755944,0.27722493601166415,1.7659478715138421,1.866032470368466,0.09332956793310929
ALL,311,1.2885243985647643,1.570755119295608,4.5993415551686025,5.7759723316101725,0.2888851135566397
