timestamp,obs_ws_ms,obs_power_kw,fcst_ws_ms,fcst_power_kw,date
2022-07-05 11:45:00+00:00,8.546775575790038,0.1541065110289073,6.3175,11.931882146119246,2022-07-05
2022-07-05 12:00:00+00:00,9.507889699103176,18.804081568807096,5.95,10.543217352140466,2022-07-05
2022-07-05 12:15:00+00:00,9.500076242417496,19.875138251670094,6.125,11.201463994083495,2022-07-05
2022-07-05 12:30:00+00:00,9.06158902432237,22.364874768469974,6.300000000000001,11.86467273879604,2022-07-05
2022-07-05 12:45:00+00:00,9.257652420701168,23.19539535440623,6.4750000000000005,12.542929670814615,2022-07-05
2022-07-05 13:00:00+00:00,9.94008873353052,24.0268253193466,6.65,13.215600978739309,2022-07-05
2022-07-05 13:30:00+00:00,8.238150891089107,18.91532951601952,6.9,14.116987688823015,2022-07-05
2022-07-05 13:45:00+00:00,8.67952181243414,23.288910366949423,7.025,14.545928576111091,2022-07-05
2022-08-08 09:30:00+00:00,5.271110244264883,6.429831054814503,3.65,3.326384257811205,2022-08-08
2022-08-08 09:45:00+00:00,5.408979756491125,7.641933802656814,3.67,3.396752679226008,2022-08-08
2022-08-11 07:15:00+00:00,4.0658887159533075,2.5441009257898832,3.505,2.7528559530070917,2022-08-11
2022-08-11 07:30:00+00:00,3.963935422066945,2.155257443852355,3.4699999999999998,2.598387015010562,2022-08-11
2022-08-11 07:45:00+00:00,3.8665044577727343,1.4040123946172005,3.435,2.4379564868460784,2022-08-11
2022-08-11 08:15:00+00:00,4.096187928501469,2.415215553491074,3.435,2.4379564868460784,2022-08-11
2022-08-11 08:30:00+00:00,4.236348807472064,2.685527245129449,3.47,2.598387015010564,2022-08-11
2022-08-11 08:45:00+00:00,3.811940833008953,1.79000120463763,3.505,2.7528559530070917,2022-08-11
2022-08-11 09:00:00+00:00,4.094619079386257,1.9990472582361465,3.54,2.9012301142717054,2022-08-11
2022-08-11 09:15:00+00:00,3.869085925068711,1.8828280060161289,3.58,3.063166740802848,2022-08-11
2022-08-11 09:30:00+00:00,4.120505391569546,2.46267505745116,3.62,3.2167700755634376,2022-08-11
2022-08-11 09:45:00+00:00,3.981906039372706,2.0137286398876943,3.66,3.3618413094550865,2022-08-11
2022-08-11 10:00:00+00:00,4.575637089618456,3.881168007233696,3.7,3.4981816333794047,2022-08-11
2022-08-11 10:15:00+00:00,4.38749174403736,3.4527781618759663,3.6625,3.37062043091685,2022-08-11
2022-08-11 10:30:00+00:00,4.083326327495135,2.7803811593775367,3.625,3.235374656205877,2022-08-11
2022-08-11 10:45:00+00:00,3.9129979984432337,2.3183798803350384,3.5875,3.0926081228956686,2022-08-11
2022-08-11 11:00:00+00:00,3.62299388277166,1.4923033178585474,3.55,2.942484644635411,2022-08-11
2022-08-11 11:15:00+00:00,3.9049675158527086,2.057654593577384,3.5725,3.0334323914212167,2022-08-11
2022-08-11 11:30:00+00:00,3.608636115900117,1.510473916843852,3.5949999999999998,3.1217552271904876,2022-08-11
2022-08-11 11:45:00+00:00,3.304979144652689,0.8174031815406374,3.6175,3.207417768195,2022-08-11
2022-08-11 12:00:00+00:00,3.0634295884315907,0.544912337853921,3.64,3.2903846306865288,2022-08-11
2022-08-11 12:15:00+00:00,3.0591210368227832,0.4674688778574257,3.625,3.235374656205877,2022-08-11
2022-08-11 12:30:00+00:00,3.6525717304270464,1.570282459009464,3.61,3.1791613603493465,2022-08-11
2022-08-11 12:45:00+00:00,4.029122157588577,2.2147393696714435,3.595,3.121755227190489,2022-08-11
2022-08-25 08:15:00+00:00,3.4199391812865496,0.058881493161497,3.1550000000000002,0.9558774031589661,2022-08-25
2022-08-25 08:30:00+00:00,3.930191933240612,1.818766726466576,3.1700000000000004,1.0436091826877623,2022-08-25
2022-08-25 08:45:00+00:00,4.00203760151296,2.28497965446543,3.185,1.130455657738296,2022-08-25
2022-08-25 09:00:00+00:00,4.975564989984421,4.0369262488497935,3.2,1.2164063442370256,2022-08-25
2022-08-25 09:15:00+00:00,4.916578660436137,4.446600896776729,3.0675000000000003,0.4270096797247876,2022-08-25
2022-08-25 09:30:00+00:00,4.900712290658209,5.187018578097701,2.935,0.0,2022-08-25
2022-08-25 09:45:00+00:00,5.013966840992545,5.763723338048842,2.8025,0.0,2022-08-25
2022-08-25 10:00:00+00:00,3.840380708683318,2.100487786846749,2.67,0.0,2022-08-25
2022-08-25 10:15:00+00:00,3.5643274453521747,1.5303249728955175,2.6125,0.0,2022-08-25
2022-08-25 11:30:00+00:00,2.0700359328067637,0.10733163594189,2.215,0.0,2022-08-25
2022-08-25 11:45:00+00:00,2.434943702714731,0.1609764901877725,2.1025,0.0,2022-08-25
2022-08-25 12:00:00+00:00,3.222270865791231,0.9206882118058646,1.99,0.0,2022-08-25
2022-08-25 12:15:00+00:00,3.3507074595316237,1.0425632265379374,2.145,0.0,2022-08-25
2022-08-25 12:30:00+00:00,3.4505954487286488,1.304458333153942,2.3,0.0,2022-08-25
2022-08-25 12:45:00+00:00,3.3594893292682926,1.1078337395510671,2.455,0.0,2022-08-25
2022-08-31 08:00:00+00:00,1.9401681766704415,2.3543812858372877,2.51,0.0,2022-08-31
2022-08-31 08:15:00+00:00,2.2390432315139375,2.269135646795421,2.5374999999999996,0.0,2022-08-31
2022-08-31 08:30:00+00:00,3.0735313463514906,2.0863284580569377,2.565,0.0,2022-08-31
2022-08-31 12:30:00+00:00,5.5801105876518715,5.795935603349616,2.305,0.0,2022-08-31
2022-08-31 12:45:00+00:00,5.690677868031601,7.459283298266496,2.4975,0.0,2022-08-31
2022-08-31 13:00:00+00:00,5.818175320296696,8.339570372412737,2.69,0.0,2022-08-31
2022-09-07 08:45:00+00:00,4.867879092326347,4.508402576514685,3.1500000000000004,0.9264385543829609,2022-09-07
2022-09-07 09:00:00+00:00,4.720561925825111,4.503353270455682,3.2,1.2164063442370256,2022-09-07
2022-09-12 16:00:00+00:00,9.038058522069765,3.12056491632142,6.31,11.903049628870265,2022-09-12
2022-09-12 16:15:00+00:00,8.53576461313211,8.730187965395872,6.175,11.390356250829404,2022-09-12
2022-09-12 16:45:00+00:00,8.25792662430826,10.9040638478033,5.904999999999999,10.374924240279382,2022-09-12
2022-09-13 11:30:00+00:00,6.47900874217119,9.130916859284486,7.665,16.71507335999807,2022-09-13
2022-09-13 12:00:00+00:00,9.984449709060682,15.032467052140357,8.01,17.782175442845904,2022-09-13
2022-09-13 12:15:00+00:00,9.540561358263483,21.523608977432826,7.927499999999999,17.534917445635095,2022-09-13
2022-09-13 12:30:00+00:00,9.998909489051094,21.32445991309489,7.845,17.281823672929324,2022-09-13
2022-09-14 13:30:00+00:00,9.647085441459415,21.269912648556563,8.02,17.811636541665564,2022-09-14
2022-09-15 08:00:00+00:00,6.83509311657578,13.148234033398584,3.98,4.204848466855733,2022-09-15
2022-09-15 08:15:00+00:00,6.602164853182292,10.650204863969297,3.79,3.7708666300809313,2022-09-15
2022-09-15 10:45:00+00:00,6.874999112163362,10.610777598593277,4.1925,4.64352981671364,2022-09-15
2022-09-15 11:00:00+00:00,6.8452814204608705,14.792308920827118,4.24,4.760037264105453,2022-09-15
2022-09-15 11:15:00+00:00,6.6065576088166535,13.486151416182231,4.345000000000001,5.053771077564605,2022-09-15
2022-09-15 11:30:00+00:00,6.501071118530885,12.347113246766837,4.45,5.380568736998113,2022-09-15
2022-09-15 11:45:00+00:00,6.2078628195111065,10.149102801952784,4.555000000000001,5.726339953867248,2022-09-15
2022-09-20 11:30:00+00:00,4.544552073515551,3.2575566296369316,3.11,0.6874750784385005,2022-09-20
2022-09-20 11:45:00+00:00,5.219566458982347,6.114185438580199,3.095,0.5963069217321484,2022-09-20
2022-09-20 12:15:00+00:00,4.899369565217391,4.231931003810601,3.1075,0.6723386697544109,2022-09-20
2022-09-20 12:30:00+00:00,5.018599466758407,6.055322479772056,3.1350000000000002,0.8375426774420047,2022-09-20
2022-09-22 08:00:00+00:00,5.18778818061089,4.35440145191396,3.86,3.94800065900194,2022-09-22
2022-09-22 08:15:00+00:00,5.923989291495455,8.239650999329893,3.905,4.049488461651515,2022-09-22
2022-09-22 08:30:00+00:00,5.734109473215775,8.448381158782276,3.95,4.144221672502295,2022-09-22
2022-09-22 08:45:00+00:00,5.964648570475025,9.584828793048004,3.995,4.234678631245084,2022-09-22
2022-09-22 09:00:00+00:00,5.771360885526755,8.805713626039104,4.04,4.323337677570688,2022-09-22
2022-09-22 09:15:00+00:00,5.777208321744451,8.744939712309394,3.935,4.113241461820371,2022-09-22
2022-09-22 09:30:00+00:00,6.034595571873609,9.552680758280095,3.83,3.8753657014506433,2022-09-22
2022-09-22 09:45:00+00:00,6.000550653685675,9.788982414521278,3.725,3.5788723325872027,2022-09-22
2022-09-22 10:00:00+00:00,5.61184769427602,7.903338150715358,3.62,3.2167700755634376,2022-09-22
2022-09-22 10:15:00+00:00,5.294175203796082,6.7050756835533525,3.53,2.8594671787409873,2022-09-22
2022-09-23 09:30:00+00:00,6.4959480287737685,12.302019750343613,5.06,7.355421564151328,2022-09-23
2022-09-23 09:45:00+00:00,6.191552081014912,10.40051424020977,5.155,7.6646302097566075,2022-09-23
2022-09-23 10:00:00+00:00,6.484205667835867,11.791533307938645,5.25,7.983307211265227,2022-09-23
2022-09-23 10:15:00+00:00,6.543885580722355,10.923998231165008,5.2425,7.957725615797464,2022-09-23
2022-09-23 10:30:00+00:00,6.41080974904012,12.513476838446108,5.234999999999999,7.932222424456386,2022-09-23
2022-09-23 10:45:00+00:00,6.487402528882016,12.501243879404166,5.2275,7.906795975171017,2022-09-23
2022-09-28 08:00:00+00:00,7.911191958813435,4.065703758549742,6.77,13.657990021317964,2022-09-28
2022-09-28 08:15:00+00:00,7.355999554813579,6.953303182711074,7.0525,14.63930528180129,2022-09-28
2022-09-28 08:30:00+00:00,7.2015217354887335,15.18106972231083,7.335,15.598496928055969,2022-09-28
2022-09-28 09:00:00+00:00,8.998807304180682,0.8745008322463262,7.9,17.45108511911151,2022-09-28
2022-09-28 09:15:00+00:00,10.221628038942976,7.199837133832083,7.8025,17.149934129975982,2022-09-28
2022-09-28 09:30:00+00:00,10.067320692389004,18.089879185529995,7.705,16.844015700024507,2022-09-28
2022-09-30 13:15:00+00:00,7.853846879691186,18.36715096109536,4.4174999999999995,5.276736479310836,2022-09-30
2022-09-30 13:30:00+00:00,7.588423189713513,14.928487116571183,4.375,5.144389348198428,2022-09-30
2022-10-12 14:45:00+00:00,7.545370336250576,12.98886546044559,5.775,9.89171008086555,2022-10-12
